,all_charuco_ids,all_charuco_corners
0,"[[ 3]
 [ 4]
 [ 5]
 [17]
 [18]
 [30]
 [43]
 [48]]","[[[2498.4006 2227.1418]]

 [[2702.113  2227.598 ]]

 [[2910.4473 2227.4468]]

 [[2703.4863 2431.8723]]

 [[2910.007  2432.7966]]

 [[2700.2554 2641.5625]]

 [[2697.294  2847.7244]]

 [[3736.3188 2847.6191]]]"
1,"[[ 0]
 [ 1]
 [ 2]
 [ 3]
 [ 4]
 [ 5]
 [ 6]
 [ 7]
 [ 8]
 [ 9]
 [10]
 [11]
 [12]
 [13]
 [14]
 [17]
 [18]
 [19]
 [20]
 [21]
 [22]
 [23]
 [24]
 [25]
 [26]
 [27]
 [30]
 [31]
 [32]
 [33]
 [34]
 [35]
 [36]
 [37]
 [38]
 [41]
 [42]
 [43]
 [44]
 [45]
 [46]
 [47]
 [48]
 [49]
 [50]
 [51]
 [54]
 [55]
 [56]
 [59]
 [60]
 [61]
 [62]
 [63]
 [64]
 [65]
 [66]
 [67]
 [68]
 [72]
 [73]
 [74]
 [75]
 [76]
 [77]]","[[[1882.4934 2241.9172]]

 [[2100.5093 2240.6958]]

 [[2312.7634 2240.3315]]

 [[2529.1772 2238.3599]]

 [[2736.2585 2238.6523]]

 [[2947.9233 2237.6614]]

 [[3152.0837 2237.0034]]

 [[3358.1768 2236.144 ]]

 [[3560.1501 2235.2686]]

 [[3760.6958 2232.9565]]

 [[3959.0085 2231.122 ]]

 [[4153.618  2231.104 ]]

 [[4349.19   2228.1565]]

 [[1880.306  2453.2666]]

 [[2098.6897 2454.6292]]

 [[2743.3865 2447.0508]]

 [[2949.6582 2446.9182]]

 [[3160.211  2444.5854]]

 [[3363.7234 2443.0752]]

 [[3568.313  2440.176 ]]

 [[3769.1797 2438.2231]]

 [[3968.4216 2434.979 ]]

 [[4166.384  2432.5203]]

 [[4358.539  2432.168 ]]

 [[1878.4875 2676.704 ]]

 [[2099.777  2667.6711]]

 [[2743.4968 2662.0417]]

 [[2957.732  2658.019 ]]

 [[3163.0007 2655.6924]]

 [[3372.3928 2651.345 ]]

 [[3575.5386 2648.6687]]

 [[3778.6428 2644.9407]]

 [[3978.19   2640.939 ]]

 [[4175.9775 2637.5125]]

 [[4373.248  2633.376 ]]

 [[2318.2266 2881.8018]]

 [[2534.6711 2879.0244]]

 [[2751.0664 2875.5842]]

 [[2959.7134 2871.898 ]]

 [[3172.3633 2867.2664]]

 [[3376.91   2863.635 ]]

 [[3584.682  2858.6167]]

 [[3787.0757 2854.199 ]]

 [[3988.4722 2849.1018]]

 [[4187.805  2843.9895]]

 [[4383.7915 2838.6516]]

 [[2320.019  3102.998 ]]

 [[2540.098  3098.4119]]

 [[2751.4768 3093.1118]]

 [[3386.8374 3075.541 ]]

 [[3590.7612 3070.9385]]

 [[3797.1436 3065.5845]]

 [[3998.1252 3059.5562]]

 [[4198.458  3052.3992]]

 [[4396.0215 3045.3796]]

 [[1877.2756 3333.1182]]

 [[2107.518  3323.0964]]

 [[2320.653  3320.2659]]

 [[2539.9707 3317.9736]]

 [[3390.6545 3291.6472]]

 [[3601.5305 3284.7607]]

 [[3804.22   3277.8948]]

 [[4008.5002 3270.2163]]

 [[4208.592  3262.825 ]]

 [[4407.0835 3254.63  ]]]"
2,"[[ 0]
 [ 1]
 [ 2]
 [ 5]
 [ 8]
 [ 9]
 [10]
 [11]
 [12]
 [13]
 [14]
 [15]
 [19]
 [20]
 [21]
 [22]
 [23]
 [24]
 [25]
 [26]
 [27]
 [28]
 [29]
 [32]
 [33]
 [34]
 [37]
 [38]
 [39]
 [40]
 [41]
 [42]
 [43]
 [44]
 [47]
 [50]
 [51]
 [52]
 [55]
 [56]
 [57]
 [60]
 [61]
 [62]
 [63]
 [64]
 [65]
 [71]
 [72]
 [73]
 [74]
 [75]
 [76]
 [77]]","[[[2095.675  2233.3784]]

 [[2308.3066 2231.5076]]

 [[2514.2769 2234.606 ]]

 [[3134.26   2229.2307]]

 [[3732.4507 2227.3027]]

 [[3927.934  2225.3745]]

 [[4122.2637 2223.7332]]

 [[4312.04   2223.3823]]

 [[4502.861  2220.5186]]

 [[2095.5935 2440.5156]]

 [[2307.6577 2441.3037]]

 [[2520.056  2439.6687]]

 [[3342.4456 2432.0317]]

 [[3540.7876 2430.4692]]

 [[3740.7534 2428.2373]]

 [[3937.1934 2426.083 ]]

 [[4131.87   2423.2476]]

 [[4324.8604 2420.5884]]

 [[4512.707  2420.612 ]]

 [[2093.0208 2661.0085]]

 [[2309.0786 2649.1494]]

 [[2520.6882 2648.0757]]

 [[2731.5173 2645.9739]]

 [[3345.4783 2638.8772]]

 [[3550.2014 2634.4976]]

 [[3748.0903 2632.004 ]]

 [[4335.2485 2621.3274]]

 [[4527.3984 2617.5862]]

 [[2095.974  2867.446 ]]

 [[2309.471  2866.7512]]

 [[2523.6755 2859.0708]]

 [[2730.7527 2860.538 ]]

 [[2944.535  2852.997 ]]

 [[3147.6733 2850.298 ]]

 [[3758.234  2836.9705]]

 [[4346.322  2823.4043]]

 [[4538.5093 2819.041 ]]

 [[2098.6858 3081.123 ]]

 [[2739.2268 3069.8884]]

 [[2946.0588 3065.1387]]

 [[3156.9277 3059.6465]]

 [[3764.2075 3045.6516]]

 [[3965.9006 3039.8264]]

 [[4162.383  3034.209 ]]

 [[4357.6284 3027.8435]]

 [[4550.723  3021.3647]]

 [[2096.148  3299.4417]]

 [[3369.1804 3264.9019]]

 [[3570.48   3260.5154]]

 [[3775.45   3253.9702]]

 [[3973.09   3247.7969]]

 [[4172.7456 3240.6958]]

 [[4368.048  3233.6353]]

 [[4562.1733 3226.2302]]]"
3,"[[ 0]
 [ 1]
 [ 2]
 [ 3]
 [ 4]
 [ 5]
 [ 6]
 [ 7]
 [ 8]
 [ 9]
 [10]
 [11]
 [12]
 [13]
 [14]
 [15]
 [16]
 [17]
 [18]
 [19]
 [20]
 [21]
 [22]
 [23]
 [24]
 [25]
 [26]
 [27]
 [28]
 [29]
 [30]
 [31]
 [32]
 [33]
 [34]
 [35]
 [36]
 [37]
 [38]
 [39]
 [40]
 [41]
 [42]
 [43]
 [44]
 [45]
 [46]
 [47]
 [48]
 [49]
 [50]
 [51]
 [52]
 [53]
 [54]
 [55]
 [56]
 [57]
 [58]
 [59]
 [60]
 [61]
 [62]
 [63]
 [64]
 [65]
 [66]
 [67]
 [68]
 [69]
 [70]
 [71]
 [72]
 [73]
 [74]
 [75]
 [76]
 [77]]","[[[2106.452  2278.0876]]

 [[2343.3489 2276.3767]]

 [[2573.9956 2277.017 ]]

 [[2809.2695 2275.482 ]]

 [[3034.7563 2276.0278]]

 [[3265.9578 2275.2336]]

 [[3489.2092 2275.15  ]]

 [[3714.8171 2274.747 ]]

 [[3936.2617 2274.2092]]

 [[4155.5957 2272.2358]]

 [[4373.566  2270.471 ]]

 [[4586.271  2269.8777]]

 [[4801.4453 2268.1443]]

 [[2103.6465 2509.7117]]

 [[2340.743  2510.5005]]

 [[2577.628  2507.9104]]

 [[2807.9778 2508.2773]]

 [[3043.059  2505.1284]]

 [[3267.7148 2504.1602]]

 [[3498.1008 2502.94  ]]

 [[3721.011  2501.247 ]]

 [[3945.0986 2499.3074]]

 [[4165.603  2497.7053]]

 [[4384.248  2494.3362]]

 [[4601.984  2492.151 ]]

 [[4812.408  2490.7065]]

 [[2104.0005 2747.1965]]

 [[2340.3108 2743.812 ]]

 [[2576.7307 2743.38  ]]

 [[2813.8    2739.862 ]]

 [[3042.9385 2739.4949]]

 [[3277.24   2735.8071]]

 [[3501.6318 2733.344 ]]

 [[3730.873  2730.6597]]

 [[3952.8926 2727.1719]]

 [[4175.772  2724.119 ]]

 [[4395.344  2720.3926]]

 [[4612.7324 2716.844 ]]

 [[4829.419  2713.318 ]]

 [[2101.1995 2986.5454]]

 [[2341.5906 2983.6853]]

 [[2578.214  2978.4333]]

 [[2814.017  2976.8284]]

 [[3050.8179 2972.899 ]]

 [[3278.579  2970.575 ]]

 [[3511.803  2966.2605]]

 [[3735.8628 2962.6826]]

 [[3963.8953 2958.0903]]

 [[4185.526  2953.8386]]

 [[4407.1523 2949.2288]]

 [[4625.182  2943.5066]]

 [[4841.0664 2939.0864]]

 [[2102.6482 3226.4631]]

 [[2340.2114 3223.589 ]]

 [[2580.503  3220.4255]]

 [[2819.4478 3214.925 ]]

 [[3051.8872 3211.44  ]]

 [[3288.0566 3205.538 ]]

 [[3514.9429 3201.6797]]

 [[3746.7542 3196.4646]]

 [[3970.4153 3191.7224]]

 [[4196.9604 3186.146 ]]

 [[4418.2827 3180.6523]]

 [[4638.096  3173.9734]]

 [[4855.447  3166.8325]]

 [[2098.284  3472.765 ]]

 [[2343.249  3465.8525]]

 [[2580.3572 3460.271 ]]

 [[2820.2622 3456.7805]]

 [[3058.3403 3450.264 ]]

 [[3290.1895 3445.7588]]

 [[3526.0864 3438.0999]]

 [[3751.246  3432.445 ]]

 [[3982.3445 3426.6248]]

 [[4204.7114 3420.0537]]

 [[4429.659  3413.066 ]]

 [[4649.8486 3406.2737]]

 [[4868.1704 3397.3176]]]"
4,"[[ 3]
 [ 4]
 [ 5]
 [16]
 [17]
 [18]
 [19]
 [29]
 [30]
 [43]
 [48]
 [56]
 [60]
 [69]
 [72]]","[[[2496.3738 2221.7837]]

 [[2702.1638 2223.1836]]

 [[2910.567  2223.2825]]

 [[2493.591  2428.9353]]

 [[2704.5842 2428.019 ]]

 [[2909.844  2428.12  ]]

 [[3116.4773 2428.311 ]]

 [[2494.0022 2635.4966]]

 [[2700.4187 2636.6296]]

 [[2703.3167 2845.3552]]

 [[3737.206  2842.444 ]]

 [[2701.0645 3057.8645]]

 [[3536.8616 3051.1636]]

 [[2706.7705 3271.0867]]

 [[3332.0706 3264.3567]]]"
5,"[[ 3]
 [ 4]
 [ 5]
 [ 6]
 [35]
 [48]
 [49]]","[[[2070.3784 2251.3015]]

 [[2294.657  2250.3572]]

 [[2515.5698 2250.308 ]]

 [[2732.3777 2252.2131]]

 [[3389.7134 2681.7659]]

 [[3396.1716 2902.7861]]

 [[3610.9019 2895.321 ]]]"
6,"[[ 0]
 [ 1]
 [ 2]
 [ 3]
 [ 4]
 [ 5]
 [ 6]
 [ 7]
 [ 8]
 [ 9]
 [10]
 [11]
 [12]
 [13]
 [14]
 [15]
 [16]
 [17]
 [18]
 [19]
 [20]
 [21]
 [22]
 [23]
 [24]
 [25]
 [26]
 [27]
 [28]
 [29]
 [30]
 [31]
 [32]
 [33]
 [34]
 [35]
 [36]
 [37]
 [38]
 [39]
 [40]
 [41]
 [42]
 [43]
 [44]
 [45]
 [46]
 [47]
 [48]
 [49]
 [50]
 [51]
 [52]
 [53]
 [54]
 [57]
 [58]
 [59]
 [60]
 [61]
 [62]
 [63]
 [64]
 [65]
 [66]
 [67]
 [70]
 [71]
 [72]
 [73]
 [74]
 [75]
 [76]
 [77]]","[[[3201.4731 2272.898 ]]

 [[3421.5483 2270.4592]]

 [[3638.9993 2266.5417]]

 [[3856.6995 2261.5774]]

 [[4069.1047 2258.2747]]

 [[4283.5347 2253.953 ]]

 [[4489.6714 2251.2847]]

 [[4700.2026 2247.0981]]

 [[4902.899  2243.122 ]]

 [[5107.4595 2239.3943]]

 [[5306.9023 2235.1814]]

 [[5505.253  2231.4487]]

 [[5701.7085 2226.9885]]

 [[3207.8484 2494.7   ]]

 [[3430.6707 2490.208 ]]

 [[3649.653  2486.3618]]

 [[3866.336  2481.8828]]

 [[4084.0845 2476.8499]]

 [[4294.0713 2472.1853]]

 [[4508.09   2467.1301]]

 [[4712.493  2462.6309]]

 [[4921.579  2457.6138]]

 [[5123.1475 2452.1694]]

 [[5326.581  2447.4045]]

 [[5524.8433 2441.6682]]

 [[5721.784  2436.892 ]]

 [[3217.1611 2721.624 ]]

 [[3439.0942 2715.3862]]

 [[3659.9429 2708.1113]]

 [[3878.31   2703.2407]]

 [[4093.5557 2697.8167]]

 [[4310.0044 2691.8306]]

 [[4518.5728 2686.523 ]]

 [[4731.2305 2679.133 ]]

 [[4934.9746 2673.6514]]

 [[5142.5854 2667.7632]]

 [[5343.139  2660.8145]]

 [[5544.995  2654.5662]]

 [[5742.35   2647.6233]]

 [[3223.088  2946.358 ]]

 [[3448.7563 2941.1992]]

 [[3669.9937 2935.4116]]

 [[3888.9211 2927.3376]]

 [[4106.992  2920.189 ]]

 [[4320.378  2913.1362]]

 [[4536.286  2906.6902]]

 [[4742.9927 2899.5505]]

 [[4954.486  2891.2197]]

 [[5157.0776 2884.4006]]

 [[5363.3867 2877.0364]]

 [[5562.992  2869.136 ]]

 [[5763.476  2861.7114]]

 [[3234.3457 3175.2698]]

 [[3455.7207 3168.1418]]

 [[3680.1313 3160.9822]]

 [[4336.288  3137.207 ]]

 [[4547.2734 3128.3943]]

 [[4762.1387 3120.871 ]]

 [[4967.214  3112.5337]]

 [[5177.312  3103.4204]]

 [[5379.3027 3095.0562]]

 [[5584.06   3086.573 ]]

 [[5783.2173 3077.4082]]

 [[3239.138  3408.5525]]

 [[3466.638  3401.0193]]

 [[3688.902  3390.2388]]

 [[4347.1685 3363.3386]]

 [[4565.1387 3354.1821]]

 [[4773.976  3344.2263]]

 [[4987.3604 3334.4253]]

 [[5191.048  3324.8599]]

 [[5399.803  3314.9543]]

 [[5600.78   3305.2158]]

 [[5803.985  3295.2712]]]"
7,"[[ 0]
 [ 1]
 [ 2]
 [ 3]
 [ 4]
 [ 5]
 [ 6]
 [ 7]
 [ 8]
 [ 9]
 [10]
 [11]
 [13]
 [14]
 [15]
 [16]
 [17]
 [18]
 [19]
 [20]
 [21]
 [22]
 [23]
 [24]
 [26]
 [27]
 [28]
 [29]
 [30]
 [31]
 [32]
 [33]
 [34]
 [35]
 [36]
 [37]
 [39]
 [40]
 [41]
 [42]
 [43]
 [44]
 [45]
 [46]
 [47]
 [48]
 [49]
 [50]
 [52]
 [53]
 [54]
 [55]
 [56]
 [57]
 [58]
 [59]
 [60]
 [61]
 [62]
 [63]
 [65]
 [66]
 [67]
 [68]
 [69]
 [70]
 [71]
 [72]
 [73]
 [74]
 [75]
 [76]]","[[[3382.9458 2253.9487]]

 [[3604.563  2254.0286]]

 [[3824.037  2253.1377]]

 [[4046.241  2252.4204]]

 [[4260.9126 2251.4136]]

 [[4480.938  2249.8289]]

 [[4691.6875 2248.9858]]

 [[4908.4795 2247.9675]]

 [[5118.361  2246.5916]]

 [[5330.362  2245.8005]]

 [[5538.1836 2243.9856]]

 [[5745.456  2242.6074]]

 [[3386.6829 2477.867 ]]

 [[3609.755  2474.6729]]

 [[3831.386  2474.004 ]]

 [[4050.799  2473.0154]]

 [[4272.3604 2471.3975]]

 [[4486.8555 2470.6362]]

 [[4706.538  2467.8906]]

 [[4917.534  2466.3994]]

 [[5133.256  2464.6934]]

 [[5342.744  2462.345 ]]

 [[5554.282  2460.5393]]

 [[5761.963  2457.6284]]

 [[3391.134  2702.222 ]]

 [[3614.8074 2701.3655]]

 [[3837.1777 2697.8308]]

 [[4060.0977 2696.1953]]

 [[4278.178  2693.7617]]

 [[4499.99   2691.6975]]

 [[4713.448  2690.429 ]]

 [[4932.3604 2686.9272]]

 [[5143.637  2684.6616]]

 [[5358.678  2681.9387]]

 [[5568.076  2678.5525]]

 [[5779.0557 2675.4514]]

 [[3393.329  2927.789 ]]

 [[3619.9656 2926.5398]]

 [[3843.5417 2924.7205]]

 [[4065.5479 2922.333 ]]

 [[4289.761  2919.2776]]

 [[4506.4067 2915.9192]]

 [[4727.969  2913.1475]]

 [[4940.8037 2910.196 ]]

 [[5159.25   2906.3953]]

 [[5370.24   2902.9878]]

 [[5584.922  2899.316 ]]

 [[5794.6377 2895.1743]]

 [[3398.9563 3159.8455]]

 [[3623.774  3155.11  ]]

 [[3850.175  3151.4875]]

 [[4073.9329 3149.2825]]

 [[4295.305  3146.1655]]

 [[4519.3877 3143.0737]]

 [[4735.2305 3138.7478]]

 [[4956.804  3134.7854]]

 [[5168.7524 3130.3975]]

 [[5386.918  3126.3228]]

 [[5597.646  3121.9104]]

 [[5811.737  3117.4768]]

 [[3400.9443 3389.682 ]]

 [[3630.4624 3387.8447]]

 [[3856.2566 3383.9915]]

 [[4080.9868 3378.2908]]

 [[4305.3926 3374.8032]]

 [[4525.9355 3370.4724]]

 [[4749.056  3366.039 ]]

 [[4964.496  3362.0964]]

 [[5185.84   3356.3816]]

 [[5397.4727 3351.141 ]]

 [[5614.664  3346.747 ]]

 [[5825.4873 3341.1846]]]"
8,"[[ 0]
 [ 1]
 [ 2]
 [ 3]
 [ 4]
 [ 7]
 [ 8]
 [ 9]
 [10]
 [11]
 [12]
 [13]
 [14]
 [15]
 [16]
 [17]
 [20]
 [21]
 [22]
 [23]
 [24]
 [25]
 [26]
 [27]
 [28]
 [29]
 [30]
 [33]
 [34]
 [35]
 [36]
 [37]
 [38]
 [39]
 [40]
 [41]
 [42]
 [43]
 [46]
 [47]
 [48]
 [49]
 [50]
 [51]
 [52]
 [53]
 [54]
 [55]
 [56]
 [57]
 [58]
 [59]
 [60]
 [61]
 [62]
 [63]
 [64]
 [65]
 [66]
 [67]
 [68]
 [69]
 [70]
 [71]
 [72]
 [75]
 [76]
 [77]]","[[[2279.6685 2274.541 ]]

 [[2514.2793 2271.6504]]

 [[2742.6626 2268.165 ]]

 [[2972.8894 2267.268 ]]

 [[3195.3542 2267.292 ]]

 [[3863.0056 2259.9878]]

 [[4079.1301 2257.913 ]]

 [[4294.069  2255.8987]]

 [[4506.031  2252.6108]]

 [[4714.769  2250.7751]]

 [[4923.7427 2247.678 ]]

 [[2281.8428 2503.9075]]

 [[2514.9746 2502.2146]]

 [[2748.9878 2499.32  ]]

 [[2975.538  2496.1956]]

 [[3195.6943 2487.1772]]

 [[3871.2126 2484.2637]]

 [[4092.1519 2480.7593]]

 [[4307.292  2477.007 ]]

 [[4520.633  2473.2327]]

 [[4731.9863 2469.0276]]

 [[4938.279  2465.811 ]]

 [[2282.9104 2739.0684]]

 [[2518.063  2733.0615]]

 [[2750.9973 2730.1519]]

 [[2984.0164 2726.966 ]]

 [[3208.6826 2726.1575]]

 [[3884.797  2710.0513]]

 [[4101.6406 2705.255 ]]

 [[4320.6343 2700.7598]]

 [[4534.732  2695.879 ]]

 [[4746.9673 2690.3347]]

 [[4957.301  2684.9128]]

 [[2284.7722 2975.6355]]

 [[2520.3044 2972.8223]]

 [[2756.6702 2964.2368]]

 [[2987.4878 2959.024 ]]

 [[3220.0464 2954.636 ]]

 [[3892.5188 2938.7139]]

 [[4116.1743 2932.327 ]]

 [[4331.9614 2926.318 ]]

 [[4549.591  2920.6072]]

 [[4762.219  2913.2485]]

 [[4973.132  2907.0793]]

 [[2288.4316 3212.5713]]

 [[2524.7917 3208.7236]]

 [[2759.606  3204.124 ]]

 [[2995.899  3195.7373]]

 [[3225.1067 3188.1274]]

 [[3456.5842 3182.6777]]

 [[3679.3208 3177.8835]]

 [[3906.861  3169.6416]]

 [[4125.465  3162.907 ]]

 [[4347.7407 3154.9368]]

 [[4562.5425 3146.6821]]

 [[4778.453  3139.8926]]

 [[4989.316  3130.9033]]

 [[2288.0789 3454.88  ]]

 [[2529.2146 3447.2288]]

 [[2765.1235 3441.3762]]

 [[2999.6233 3435.2583]]

 [[3235.3108 3427.2893]]

 [[3462.5303 3418.4023]]

 [[3693.4236 3410.1836]]

 [[3914.7236 3402.662 ]]

 [[4578.7573 3376.8557]]

 [[4793.212  3367.5864]]

 [[5006.4663 3358.6562]]]"
9,"[[ 0]
 [ 1]
 [ 2]
 [ 3]
 [ 4]
 [ 5]
 [ 6]
 [ 7]
 [ 8]
 [ 9]
 [10]
 [11]
 [12]
 [13]
 [14]
 [15]
 [16]
 [17]
 [18]
 [19]
 [20]
 [21]
 [22]
 [23]
 [24]
 [25]
 [26]
 [27]
 [28]
 [29]
 [30]
 [31]
 [32]
 [33]
 [34]
 [35]
 [36]
 [37]
 [38]
 [39]
 [40]
 [41]
 [42]
 [43]
 [44]
 [45]
 [46]
 [47]
 [48]
 [49]
 [50]
 [51]
 [52]
 [53]
 [54]
 [55]
 [56]
 [57]
 [58]
 [59]
 [60]
 [61]
 [62]
 [63]
 [64]
 [65]
 [66]
 [67]
 [68]
 [69]
 [70]
 [71]
 [72]
 [73]
 [74]
 [75]
 [76]
 [77]]","[[[2600.149  2253.487 ]]

 [[2814.8687 2251.57  ]]

 [[3026.2754 2248.206 ]]

 [[3235.398  2245.714 ]]

 [[3438.6384 2243.4753]]

 [[3642.2507 2241.155 ]]

 [[3836.6023 2239.6462]]

 [[4033.832  2236.727 ]]

 [[4220.94   2234.694 ]]

 [[4410.621  2232.9531]]

 [[4592.983  2229.9358]]

 [[4773.931  2228.0342]]

 [[4951.1406 2225.4592]]

 [[2605.231  2471.1714]]

 [[2823.2559 2468.173 ]]

 [[3035.8936 2464.7158]]

 [[3244.7021 2459.9197]]

 [[3451.63   2455.4202]]

 [[3651.6343 2451.6265]]

 [[3853.0715 2447.3955]]

 [[4044.2556 2443.7717]]

 [[4238.909  2439.5315]]

 [[4424.2627 2435.0146]]

 [[4610.984  2431.4036]]

 [[4791.379  2426.6125]]

 [[4969.49   2422.874 ]]

 [[2614.189  2694.792 ]]

 [[2830.124  2686.9612]]

 [[3045.348  2681.6943]]

 [[3255.5105 2676.109 ]]

 [[3461.319  2670.0547]]

 [[3666.7139 2663.9846]]

 [[3862.9912 2658.2983]]

 [[4061.829  2652.1428]]

 [[4250.6045 2646.0356]]

 [[4442.432  2640.022 ]]

 [[4625.9883 2633.814 ]]

 [[4809.603  2628.0852]]

 [[4988.094  2621.6743]]

 [[2620.1138 2917.1094]]

 [[2840.3296 2910.5754]]

 [[3053.3857 2901.2861]]

 [[3265.8025 2893.8745]]

 [[3473.1238 2885.4019]]

 [[3676.361  2878.241 ]]

 [[3879.3555 2870.623 ]]

 [[4072.715  2862.9548]]

 [[4269.2646 2854.1953]]

 [[4455.0776 2846.499 ]]

 [[4644.4585 2838.833 ]]

 [[4825.8394 2830.6475]]

 [[5006.7725 2822.9592]]

 [[2630.6309 3143.0393]]

 [[2847.1248 3133.0066]]

 [[3064.8477 3124.4536]]

 [[3276.3606 3114.8696]]

 [[3484.7021 3104.056 ]]

 [[3690.5735 3094.2498]]

 [[3889.8252 3084.5854]]

 [[4090.185  3074.7385]]

 [[4280.764  3065.3918]]

 [[4474.8833 3054.972 ]]

 [[4658.5073 3045.1416]]

 [[4844.964  3035.8977]]

 [[5024.5054 3025.6785]]

 [[2634.916  3372.0947]]

 [[2858.8757 3359.113 ]]

 [[3072.1833 3346.9946]]

 [[3287.6956 3336.8372]]

 [[3496.3748 3324.667 ]]

 [[3702.1497 3312.6006]]

 [[3905.8967 3300.4937]]

 [[4101.615  3288.8198]]

 [[4299.412  3276.9333]]

 [[4486.88   3265.4485]]

 [[4678.0723 3253.362 ]]

 [[4859.8057 3241.511 ]]

 [[5043.2124 3230.3086]]]"
